lat,lon,alt,date,device,os,version
40.7297477722,-73.9932937622,17.601266861,2014-09-08 17:44:32,"iPhone6,1",7.1.2,1.1
40.7297058105,-73.9933166504,17.601266861,2014-09-08 17:46:40,"iPhone6,1",7.1.2,1.1
40.7297439575,-73.9932937622,17.641374588,2014-09-08 17:46:40,"iPhone6,1",7.1.2,1.1
40.729801178,-73.9933166504,12.3196125031,2014-09-08 17:53:04,"iPhone6,1",7.1.2,1.1
40.729801178,-73.9933013916,15.7318267822,2014-09-08 19:18:24,"iPhone6,1",7.1.2,1.1
40.7297325134,-73.9936447144,14.4043874741,2014-09-08 21:17:52,"iPhone6,1",7.1.2,1.1
40.7297210693,-73.993522644,17.1784744263,2014-09-08 21:17:52,"iPhone6,1",7.1.2,1.1
40.7296905518,-73.9936218262,17.1784744263,2014-09-08 21:17:52,"iPhone6,1",7.1.2,1.1
40.7296562195,-73.993522644,17.5798225403,2014-09-08 21:17:52,"iPhone6,1",7.1.2,1.1
40.7137832642,-73.9945602417,22.1098060608,2014-09-09 02:03:44,"iPhone6,1",7.1.2,1.1
40.6868667603,-73.9787597656,17.671049118,2014-09-09 02:14:24,"iPhone6,1",7.1.2,1.1
40.690662384,-73.9673233032,32,2014-09-09 02:37:52,"iPhone6,1",7.1.2,1.1
40.6872253418,-73.9726867676,32,2014-09-09 03:09:52,"iPhone6,1",7.1.2,1.1
40.6949768066,-73.9737014771,32,2014-09-09 03:52:32,"iPhone6,1",7.1.2,1.1
40.6999931335,-73.9798812866,32,2014-09-09 14:24:00,"iPhone6,1",7.1.2,1.1
40.6887168884,-73.9677200317,32,2014-09-09 15:10:56,"iPhone6,1",7.1.2,1.1
40.6860046387,-73.9727249146,32,2014-09-09 16:40:32,"iPhone6,1",7.1.2,1.1
40.684551239,-73.9785842896,32.3190002441,2014-09-09 16:55:28,"iPhone6,1",7.1.2,1.1
40.700012207,-73.9864730835,31.808216095,2014-09-09 17:01:52,"iPhone6,1",7.1.2,1.1
40.7112197876,-73.9932479858,12.3931484222,2014-09-09 17:04:00,"iPhone6,1",7.1.2,1.1
40.7111053467,-73.992767334,3.13363647461,2014-09-09 17:04:00,"iPhone6,1",7.1.2,1.1
40.7119941711,-73.9932556152,6.10168457031,2014-09-09 17:04:00,"iPhone6,1",7.1.2,1.1
40.7102050781,-73.9936141968,12.4154539108,2014-09-09 17:04:00,"iPhone6,1",7.1.2,1.1
40.7129211426,-73.9937515259,9.22299194336,2014-09-09 17:06:08,"iPhone6,1",7.1.2,1.1
40.7137832642,-73.9942550659,10.3135070801,2014-09-09 17:06:08,"iPhone6,1",7.1.2,1.1
40.7142448425,-73.9945297241,10.997833252,2014-09-09 17:06:08,"iPhone6,1",7.1.2,1.1
40.7300834656,-73.992515564,11.874329567,2014-09-09 17:12:32,"iPhone6,1",7.1.2,1.1
40.7350006104,-73.9905090332,18.0780944824,2014-09-09 22:43:12,"iPhone6,1",7.1.2,1.1
40.6953163147,-73.9492492676,27,2014-09-09 23:13:04,"iPhone6,1",7.1.2,1.1
40.6978797913,-73.9508285522,27,2014-09-10 05:58:24,"iPhone6,1",7.1.2,1.1
40.6951179504,-73.9468307495,27,2014-09-10 05:58:24,"iPhone6,1",7.1.2,1.1
40.6950683594,-73.9468383789,27,2014-09-10 05:58:24,"iPhone6,1",7.1.2,1.1
40.6949310303,-73.9466171265,22.7523574829,2014-09-10 14:38:56,"iPhone6,1",7.1.2,1.1
40.690700531,-73.9516525269,23.3354187012,2014-09-10 14:47:28,"iPhone6,1",7.1.2,1.1
40.6861038208,-73.9525299072,32,2014-09-10 14:51:44,"iPhone6,1",7.1.2,1.1
40.6905632019,-73.9515991211,29.1099567413,2014-09-10 15:10:56,"iPhone6,1",7.1.2,1.1
40.6950492859,-73.9465942383,23.8400993347,2014-09-10 15:21:36,"iPhone6,1",7.1.2,1.1
40.6928138733,-73.9710540771,24.7487945557,2014-09-10 21:15:44,"iPhone6,1",7.1.2,1.1
40.687538147,-73.9923324585,26.0358333588,2014-09-10 21:22:08,"iPhone6,1",7.1.2,1.1
40.6953277588,-73.9491043091,27,2014-09-10 22:06:56,"iPhone6,1",7.1.2,1.1
40.7318725586,-73.9931488037,25.6393566132,2014-09-11 15:19:28,"iPhone6,1",7.1.2,1.1
40.7297134399,-73.9936523438,14.3581342697,2014-09-11 18:57:04,"iPhone6,1",7.1.2,1.1
40.7296104431,-73.9936523438,17.8221473694,2014-09-11 19:01:20,"iPhone6,1",7.1.2,1.1
